"Country","Region","year_paygap_X2000","year_paygap_X2001","year_paygap_X2002","year_paygap_X2003","year_paygap_X2004","year_paygap_X2005","year_paygap_X2006","year_paygap_X2007","year_paygap_X2008","year_paygap_X2009","year_paygap_X2010","year_paygap_X2011","year_paygap_X2012","year_paygap_X2013","year_paygap_X2014","year_paygap_X2015","year_gdp_X2000","year_gdp_X2001","year_gdp_X2002","year_gdp_X2003","year_gdp_X2004","year_gdp_X2005","year_gdp_X2006","year_gdp_X2007","year_gdp_X2008","year_gdp_X2009","year_gdp_X2010","year_gdp_X2011","year_gdp_X2012","year_gdp_X2013","year_gdp_X2014","year_gdp_X2015"
"Latvia","CentralEasternEurope",16.9459197361538,16.9459197361538,18.91955557,16.9377,14.9558,12.9739,10.99195711,13.0079,15.0238,17.0397,19.05564924,19.5725,20.0893,20.6062,21.12299465,16.9459197361538,13601,14646,15869,17375,19062,21335,24108,26738,26125,22773,22234,24114,25451,26308,26838,28153
"Mexico","NorthAmerica",15.6585217945455,15.6585217945455,15.6585217945455,15.6585217945455,15.6585217945455,16.66666667,18.60465116,12.5,22.22222222,16.66666667,11.62790698,10,13.55555556,15.43340381,18.3,16.66666667,18879,18617,18375,18413,18871,19155,19785,19985,19897,18626,19333,19800,20239,20325,20675,21130
"Netherlands","WesternEurope",16.2308753353846,16.2308753353846,16.05038602,16.0398,16.0292,16.0186,16.00806452,16.4783,16.9486,17.4189,17.88914703,16.9455,16.0019,15.0583,14.11468179,16.2308753353846,50252,51036,50821,50662,51487,52420,54148,56068,57061,54690,55141,55734,54956,54724,55302,56136
"Norway","NorthernEurope",10.18854242,10.74286708,10.68187393,10.21170116,9.70579198,9.388516033,9.162434733,9.831148259,9.23566879,8.66873065,8.059701493,7.780979827,6.406685237,7.008086253,6.282722513,7.124681934,59205,60126,60673,60863,62907,64125,65129,66395,65886,63930,63589,63383,64241,64125,64663,65262
"New Zealand","Oceania",7.166556072,8.056265985,7.3125,7.692307692,8.076699593,9.611111111,9.333333333,7.142857143,8.053691275,8.759124088,7.011235955,4.533333333,5.907906169,6.594323873,6.083333333,12.3224042463871,32586,33008,34079,34981,36032,36538,37087,38186,37696,37452,37805,38228,39015,39537,40209,41142
"Poland","CentralEasternEurope",15.9295,14.29974246,11.31595541,10.9774,10.63884891,11.0396,11.44042048,12.2171,12.99382224,10.092,7.190207044,8.9052,10.62015527,10.8465,11.07286288,14.2360196905833,17059,17276,17637,18271,19189,19872,21107,22606,23556,23992,24868,26045,26384,26703,27618,28810
"Portugal","SouthernEurope",15.6279267408333,15.6279267408333,15.6279267408333,15.6279267408333,13.03030352,15.9663881,14.3548395,15.27777972,15.63548277,13.79250058,13.45086716,15.24812329,16.31546546,16.66666636,18.879689,18.91701543,31966,32359,32430,32008,32502,32696,33167,33932,33991,32899,33455,32936,31728,31608,32031,32740
"Slovakia","CentralEasternEurope",17.0237176092857,17.0237176092857,20.35516093,20.68965517,20.88376561,20.09925558,17.80276817,17.52170482,16.44476957,16.43272126,14.85111765,15.44985643,15.96526916,14.10932976,14.35004753,13.37662489,16938,17558,18352,19359,20370,21700,23526,26047,27452,25897,27356,28301,28794,28950,29684,31092
"Slovenia","SouthernEurope",5.29638629907692,5.29638629907692,9.405241223,8.8591,8.3129,7.7667,7.220573689,5.6634,4.1062,2.5489,0.991735537,1.9929,2.994,3.9951,4.996271439,5.29638629907692,27646,28498,29452,30305,31610,32753,34513,36721,37951,34748,35092,35325,34327,33928,34829,35573
"Sweden","NorthernEurope",15.49573211,16.59149485,15.8579131,16.00508098,15.32059186,14.44411148,14.58948612,16.36363636,15.38904899,14.91743633,14.32126071,15.93451569,15.13586957,13.42049093,16.2203233084615,16.2203233084615,43471,43982,44802,45667,47461,48622,50604,51958,51323,48679,51139,52375,51683,51856,52709,54496
"Turkey","CentralEasternEurope",4.18231122644444,4.18231122644444,4.18231122644444,4.18231122644444,4.18231122644444,4.18231122644444,3.206997085,3.1813,3.1556,3.1299,3.10421286,4.0488,4.9934,5.938,6.882591093,4.18231122644444,15729,14621,15366,16059,17422,18757,19811,20554,20461,19207,20512,22477,23255,24906,25786,26993
"United States","NorthAmerica",23.08892356,23.58208955,22.09131075,20.57553957,19.63534362,18.97506925,19.24629879,19.84334204,20.05012531,19.78021978,18.81067961,17.78846154,19.08665105,17.90697674,17.45120551,18.88268156,49826,50088,50721,51939,53628,55199,56420,57122,56689,54944,56057,56672,57672,58468,59640,61159
